t,ECG 1,ECG 2,ECG 3,ECG 4
1970-01-01 00:00:00,1.0,1.0,1.0,1.0
1970-01-01 00:00:01,0.6454699,-0.022726146,-0.30907483,0.044056006
1970-01-01 00:00:02,0.59547777,0.006896529,-0.24379342,-0.014618105
1970-01-01 00:00:03,0.58833603,0.029113535,-0.17851201,-0.087960743
1970-01-01 00:00:04,0.57405256,-0.022726146,-0.11323061,-0.04395516
1970-01-01 00:00:05,0.53834389,-0.037537483,-0.13934317,-0.029286632
1970-01-01 00:00:06,0.52406043,-0.030131814,-0.1915683,-0.073292216
1970-01-01 00:00:07,0.48121002,0.006896529,-0.23073714,-0.1172978
1970-01-01 00:00:08,0.51691869,-0.030131814,-0.1915683,-0.1172978
1970-01-01 00:00:09,0.47406829,-0.037537483,-0.17851201,-0.17597191
1970-01-01 00:00:10,0.47406829,-0.022726146,-0.21768086,-0.19064044
1970-01-01 00:00:11,0.48121002,-0.037537483,-0.25684971,-0.13196633
1970-01-01 00:00:12,0.45978482,-0.015320477,-0.21768086,-0.14663485
1970-01-01 00:00:13,0.47406829,-0.074565826,-0.12628689,-0.17597191
1970-01-01 00:00:14,0.45264309,-0.044943152,-0.087118041,-0.17597191
1970-01-01 00:00:15,0.46692656,-0.05234882,-0.11323061,-0.13196633
1970-01-01 00:00:16,0.45978482,-0.081971495,-0.087118041,-0.14663485
1970-01-01 00:00:17,0.47406829,-0.081971495,-0.12628689,-0.1172978
1970-01-01 00:00:18,0.49549349,-0.059754489,-0.11323061,-0.1172978
1970-01-01 00:00:19,0.49549349,-0.059754489,-0.13934317,-0.13196633
1970-01-01 00:00:20,0.47406829,-0.074565826,-0.16545573,-0.17597191
1970-01-01 00:00:21,0.48835176,-0.1041885,-0.20462458,-0.19064044
1970-01-01 00:00:22,0.48121002,-0.089377164,-0.1915683,-0.20530896
1970-01-01 00:00:23,0.50263523,-0.089377164,-0.20462458,-0.13196633
1970-01-01 00:00:24,0.50263523,-0.089377164,-0.17851201,-0.26398308
